Lokasi;Tipe;KT;KM;Listrik;Harga
Kabupaten Bekasi;Tipe 36;2;1;1300;550000000
Kabupaten Bekasi;Tipe 60;2;1;1300;440000000
Kabupaten Bekasi;Tipe 90;2;1;1300;699000000
Kabupaten Bekasi;Tipe 90;2;1;2200;1350000000
Kabupaten Bekasi;Tipe 90;3;2;2200;1400000000
Kabupaten Bekasi;Tipe 140;3;3;2200;2100000000
Kabupaten Bekasi;Tipe 140;5;3;2200;975000000
Kota Bekasi;Tipe 120;3;2;1300;685000000
Kota Bekasi;Tipe 60;3;2;2200;984000000
Kota Bekasi;Tipe 45;2;1;1300;475000000
Kota Bekasi;Tipe 60;3;2;2200;742000000
Kota Bekasi;Tipe 140;4;3;1300;925000000
Kota Bekasi;Tipe 60;2;2;1300;595000000
Kota Bekasi;Tipe 90;3;2;2200;2750000000
Kota Bekasi;Tipe 54;2;1;1300;600000000
Kabupaten Bekasi;Tipe 36;2;1;1300;385000000
Kota Bekasi;Tipe 140;4;2;2200;825000000
Kota Bekasi;Tipe 70;2;2;2200;990000000
Kota Bekasi;Tipe 140;3;2;2200;1600000000
Kota Bekasi;Tipe 140;4;2;1300;600000000
Kota Bekasi;Tipe 36;2;1;1300;375000000
Kota Bekasi;Tipe 90;3;1;2200;825000000
Kota Bekasi;Tipe 140;3;1;1300;590000000
Kabupaten Bekasi;Tipe 54;2;1;900;160000000
Kabupaten Bekasi;Tipe 45;2;1;1300;500153000
Kota Bekasi;Tipe 90;4;4;2200;1667000000
Kota Bekasi;Tipe 120;3;2;2200;1175000000
Kota Bekasi;Tipe 140;3;3;2200;2100000000
Kota Bekasi;Tipe 120;3;2;2200;1170000000
Kota Bekasi;Tipe 60;1;1;1300;430000000
Kota Bekasi;Tipe 90;3;2;2200;950000000
Kabupaten Bekasi;Tipe 70;2;1;1300;650000000
Kota Bekasi;Tipe 70;2;1;2200;890000000
Kabupaten Bekasi;Tipe 36;2;1;2200;330000000
Kota Bekasi;Tipe 90;3;2;2200;725000000
Kota Bekasi;Tipe 45;2;1;1300;682000000
Kota Bekasi;Tipe 70;3;2;2200;895000000
Kota Bekasi;Tipe 140;4;3;2200;1400000000
Kota Bekasi;Tipe 60;1;1;1300;450000000
Kabupaten Bekasi;Tipe 120;3;2;2200;1100000000
Kabupaten Bekasi;Tipe 70;2;1;1300;200000000
